architecture,seed,metric,class,point_estimate,ci_lower,ci_upper,contains_point_estimate
mobilenetv2,42,accuracy,,0.896875,0.8825,0.91125,True
mobilenetv2,42,recall,glioma,0.785,0.7444168734491315,0.8258706467661692,True
mobilenetv2,42,precision,glioma,0.9429429429429429,0.9171969637763276,0.966463840441477,True
mobilenetv2,42,f1,glioma,0.8567530695770804,0.8287765082052004,0.8832907759750531,True
mobilenetv2,42,recall,meningioma,0.81,0.7713567839195979,0.8471867461785049,True
mobilenetv2,42,precision,meningioma,0.9178470254957507,0.8876704632907496,0.9449275362318841,True
mobilenetv2,42,f1,meningioma,0.8605577689243029,0.8331108144192257,0.886076741496491,True
mobilenetv2,42,recall,notumor,0.9925,0.9828850855745721,1.0,True
mobilenetv2,42,precision,notumor,0.927570093457944,0.9025522041763341,0.9512762508180141,True
mobilenetv2,42,f1,notumor,0.9589371980676329,0.9449418330389593,0.9720279720279721,True
mobilenetv2,42,recall,pituitary,1.0,1.0,1.0,True
mobilenetv2,42,precision,pituitary,0.823045267489712,0.7877446607850516,0.8562503208418891,True
mobilenetv2,42,f1,pituitary,0.9029345372460497,0.8812720049308488,0.9225591087869849,True
mobilenetv2,789,accuracy,,0.924375,0.91125,0.936875,True
mobilenetv2,789,recall,glioma,0.82,0.7819148936170213,0.8568019093078759,True
mobilenetv2,789,precision,glioma,0.9534883720930233,0.930939226519337,0.9745222929936306,True
mobilenetv2,789,f1,glioma,0.8817204301075269,0.8567374870450526,0.9051499080098259,True
mobilenetv2,789,recall,meningioma,0.8825,0.850632911392405,0.913151364764268,True
mobilenetv2,789,precision,meningioma,0.8982188295165394,0.8671473150707882,0.9262918230257897,True
mobilenetv2,789,f1,meningioma,0.8902900378310215,0.8664964536226628,0.9126219921266819,True
mobilenetv2,789,recall,notumor,0.995,0.9872122762148338,1.0,True
mobilenetv2,789,precision,notumor,0.9521531100478469,0.9309462915601023,0.9712918660287081,True
mobilenetv2,789,f1,notumor,0.9731051344743276,0.961340206185567,0.9836065573770492,True
mobilenetv2,789,recall,pituitary,1.0,1.0,1.0,True
mobilenetv2,789,precision,pituitary,0.898876404494382,0.8700644407717001,0.9257543136201988,True
mobilenetv2,789,f1,pituitary,0.9467455621301775,0.9305181377762022,0.9614459197333552,True
mobilenetv2,999,accuracy,,0.9225,0.909375,0.935625,True
mobilenetv2,999,recall,glioma,0.77,0.7282315134294026,0.8107450133923442,True
mobilenetv2,999,precision,glioma,0.9935483870967742,0.9834983498349835,1.0,True
mobilenetv2,999,f1,glioma,0.8676056338028169,0.8404092569695928,0.8932052470819243,True
mobilenetv2,999,recall,meningioma,0.9325,0.9081632653061225,0.9557757107757107,True
mobilenetv2,999,precision,meningioma,0.8382022471910112,0.8039205121703854,0.8715596330275229,True
mobilenetv2,999,f1,meningioma,0.8828402366863906,0.8599734209722896,0.9049257508653094,True
mobilenetv2,999,recall,notumor,0.995,0.9871134020618557,1.0,True
mobilenetv2,999,precision,notumor,0.9498806682577565,0.9282293689895305,0.9699769053117783,True
mobilenetv2,999,f1,notumor,0.9719169719169718,0.9597903393623238,0.9828273532001968,True
mobilenetv2,999,recall,pituitary,0.9925,0.9828850855745721,1.0,True
mobilenetv2,999,precision,pituitary,0.931924882629108,0.9076212471131639,0.9552238805970149,True
mobilenetv2,999,f1,pituitary,0.9612590799031476,0.9476220718568517,0.9742990654205608,True
mobilenetv2,2023,accuracy,,0.91875,0.905625,0.931875,True
mobilenetv2,2023,recall,glioma,0.82,0.7819148936170213,0.8571513403461145,True
mobilenetv2,2023,precision,glioma,0.9425287356321839,0.9171270718232044,0.9659099704475091,True
mobilenetv2,2023,f1,glioma,0.877005347593583,0.8515950069348127,0.9016609087778208,True
mobilenetv2,2023,recall,meningioma,0.87,0.83640448261416,0.9018691588785047,True
mobilenetv2,2023,precision,meningioma,0.8900255754475703,0.8578947368421053,0.9198992248062016,True
mobilenetv2,2023,f1,meningioma,0.8798988621997472,0.8552269664073602,0.9024707412223667,True
mobilenetv2,2023,recall,notumor,0.9875,0.9754756676418801,0.9974683544303797,True
mobilenetv2,2023,precision,notumor,0.9610705596107056,0.9415887850467289,0.9791678695150114,True
mobilenetv2,2023,f1,notumor,0.9741060419235512,0.9623865110246433,0.9848101265822785,True
mobilenetv2,2023,recall,pituitary,0.9975,0.992,1.0,True
mobilenetv2,2023,precision,pituitary,0.8866666666666667,0.8561946902654868,0.9152542372881356,True
mobilenetv2,2023,f1,pituitary,0.9388235294117647,0.9213759213759214,0.9548237127808233,True
mobilenetv2,7,accuracy,,0.896875,0.881875,0.91125,True
mobilenetv2,7,recall,glioma,0.8,0.76010101010101,0.8380481182921999,True
mobilenetv2,7,precision,glioma,0.9495548961424333,0.9249983243967829,0.971699445688093,True
mobilenetv2,7,f1,glioma,0.8683853459972862,0.8413793103448277,0.8930644637731039,True
mobilenetv2,7,recall,meningioma,0.805,0.7657131179447255,0.8426184328726701,True
mobilenetv2,7,precision,meningioma,0.8821917808219178,0.8476997564237272,0.9153005464480874,True
mobilenetv2,7,f1,meningioma,0.8418300653594771,0.8136546036849681,0.8690965023741055,True
mobilenetv2,7,recall,notumor,0.99,0.9792207792207792,0.9976076555023924,True
mobilenetv2,7,precision,notumor,0.9473684210526315,0.924812030075188,0.967367281840966,True
mobilenetv2,7,f1,notumor,0.9682151589242053,0.9554753309265944,0.9797755481035152,True
mobilenetv2,7,recall,pituitary,0.9925,0.9827586206896551,1.0,True
mobilenetv2,7,precision,pituitary,0.8270833333333333,0.7929606625258799,0.8595753871605165,True
mobilenetv2,7,f1,pituitary,0.9022727272727272,0.8810859354886904,0.9218930128306948,True
resnet50,42,accuracy,,0.89125,0.875625,0.90625,True
resnet50,42,recall,glioma,0.7525,0.7098445595854922,0.794939834349117,True
resnet50,42,precision,glioma,0.9933993399339934,0.9830508474576272,1.0,True
resnet50,42,f1,glioma,0.856330014224751,0.8277858176555716,0.8836616507067943,True
resnet50,42,recall,meningioma,0.8225,0.7838463760672786,0.8594181539206978,True
resnet50,42,precision,meningioma,0.8796791443850267,0.8463541666666666,0.9115492690078326,True
resnet50,42,f1,meningioma,0.8501291989664083,0.8221649484536084,0.8764052100479497,True
resnet50,42,recall,notumor,0.995,0.9872773536895675,1.0,True
resnet50,42,precision,notumor,0.9170506912442397,0.8901345291479821,0.941834451901566,True
resnet50,42,f1,notumor,0.9544364508393286,0.9390243902439024,0.9681822197237392,True
resnet50,42,recall,pituitary,0.995,0.9871134020618557,1.0,True
resnet50,42,precision,pituitary,0.8139059304703476,0.7786877146374651,0.8473912599550745,True
resnet50,42,f1,pituitary,0.8953880764904387,0.8733031674208145,0.9155374811725178,True
resnet50,789,accuracy,,0.935,0.922484375,0.946875,True
resnet50,789,recall,glioma,0.81,0.7711419874312647,0.8480392156862745,True
resnet50,789,precision,glioma,0.9848024316109423,0.9705882352941176,0.9969327498545993,True
resnet50,789,f1,glioma,0.888888888888889,0.8637587519888662,0.9120010825439784,True
resnet50,789,recall,meningioma,0.935,0.9101654846335697,0.9580269536552258,True
resnet50,789,precision,meningioma,0.8738317757009346,0.841012575648215,0.9045480972515856,True
resnet50,789,f1,meningioma,0.9033816425120774,0.8814729574223245,0.9235813461931056,True
resnet50,789,recall,notumor,0.9975,0.9921259842519685,1.0,True
resnet50,789,precision,notumor,0.9545454545454546,0.933649289099526,0.9735576923076923,True
resnet50,789,f1,notumor,0.9755501222493889,0.9642003247288331,0.985658953925812,True
resnet50,789,recall,pituitary,0.9975,0.9920844327176781,1.0,True
resnet50,789,precision,pituitary,0.9388235294117647,0.9153665914083164,0.9607390300230947,True
resnet50,789,f1,pituitary,0.9672727272727273,0.9544850985271601,0.9790697674418605,True
resnet50,999,accuracy,,0.899375,0.884375,0.91375,True
resnet50,999,recall,glioma,0.715,0.6710875331564987,0.7586228341053354,True
resnet50,999,precision,glioma,0.9930555555555556,0.982078853046595,1.0,True
resnet50,999,f1,glioma,0.8313953488372092,0.800622932586055,0.8603351955307262,True
resnet50,999,recall,meningioma,0.8975,0.8668340187620913,0.9267139479905437,True
resnet50,999,precision,meningioma,0.8103837471783296,0.7732420181895653,0.8461538461538461,True
resnet50,999,f1,meningioma,0.8517200474495847,0.8247901895973361,0.8769792935444579,True
resnet50,999,recall,notumor,0.99,0.9792746113989638,0.9976190476190476,True
resnet50,999,precision,notumor,0.9611650485436893,0.9417249417249417,0.9790209790209791,True
resnet50,999,f1,notumor,0.9753694581280788,0.9639175257731958,0.9856115107913668,True
resnet50,999,recall,pituitary,0.995,0.9871786632390745,1.0,True
resnet50,999,precision,pituitary,0.8708971553610503,0.8396624472573839,0.9015317286652079,True
resnet50,999,f1,pituitary,0.9288214702450408,0.9104665825977302,0.9462622830440588,True
resnet50,2023,accuracy,,0.8725,0.85625,0.88875,True
resnet50,2023,recall,glioma,0.7075,0.6617619416187528,0.7512321459514321,True
resnet50,2023,precision,glioma,0.9725085910652921,0.9518900343642611,0.9896551724137931,True
resnet50,2023,f1,glioma,0.8191027496382055,0.7862246331091942,0.8489208633093525,True
resnet50,2023,recall,meningioma,0.83,0.7922705314009661,0.8661422293804184,True
resnet50,2023,precision,meningioma,0.8058252427184466,0.7669902912621359,0.8428927680798005,True
resnet50,2023,f1,meningioma,0.8177339901477833,0.787961524664139,0.8460606060606061,True
resnet50,2023,recall,notumor,0.9575,0.9367088607594937,0.976020300780652,True
resnet50,2023,precision,notumor,0.9551122194513716,0.9341463414634147,0.9746192893401016,True
resnet50,2023,f1,notumor,0.9563046192259677,0.941025641025641,0.9702970297029703,True
resnet50,2023,recall,pituitary,0.995,0.9872122762148338,1.0,True
resnet50,2023,precision,pituitary,0.8024193548387096,0.766146544291975,0.8367346938775511,True
resnet50,2023,f1,pituitary,0.8883928571428571,0.8655094442541639,0.9090909090909091,True
resnet50,7,accuracy,,0.909375,0.895,0.923125,True
resnet50,7,recall,glioma,0.7675,0.7260603821907013,0.8076923076923077,True
resnet50,7,precision,glioma,0.9967532467532467,0.9897610921501706,1.0,True
resnet50,7,f1,glioma,0.867231638418079,0.8398778462222571,0.8926553672316384,True
resnet50,7,recall,meningioma,0.8725,0.8385539031124498,0.9044305413687436,True
resnet50,7,precision,meningioma,0.8948717948717949,0.8629441624365483,0.924391319039135,True
resnet50,7,f1,meningioma,0.8835443037974685,0.85862482870375,0.9063670411985019,True
resnet50,7,recall,notumor,1.0,1.0,1.0,True
resnet50,7,precision,notumor,0.9389671361502347,0.9152542372881356,0.9606481481481481,True
resnet50,7,f1,notumor,0.9685230024213075,0.9557522123893806,0.9799291617473436,True
resnet50,7,recall,pituitary,0.9975,0.9920634920634921,1.0,True
resnet50,7,precision,pituitary,0.8382352941176471,0.8040393939393939,0.8714603512087566,True
resnet50,7,f1,pituitary,0.910958904109589,0.8901181275138331,0.9305703415642947,True
efficientnetb0,42,accuracy,,0.919375,0.90625,0.9325,True
efficientnetb0,42,recall,glioma,0.8225,0.7846525133282559,0.8601590928984982,True
efficientnetb0,42,precision,glioma,0.9320113314447592,0.9043478260869565,0.9572662601626016,True
efficientnetb0,42,f1,glioma,0.8738379814077025,0.8480662983425415,0.8983957219251337,True
efficientnetb0,42,recall,meningioma,0.865,0.831353919239905,0.8972979005791506,True
efficientnetb0,42,precision,meningioma,0.8940568475452196,0.8625,0.9232615392834248,True
efficientnetb0,42,f1,meningioma,0.8792884371029225,0.8546138477514899,0.902589981577537,True
efficientnetb0,42,recall,notumor,0.995,0.9871794871794872,1.0,True
efficientnetb0,42,precision,notumor,0.9567307692307693,0.9366197183098591,0.9751131221719457,True
efficientnetb0,42,f1,notumor,0.9754901960784313,0.9643257849745192,0.9856117458973999,True
efficientnetb0,42,recall,pituitary,0.995,0.9872773536895675,1.0,True
efficientnetb0,42,precision,pituitary,0.8963963963963963,0.8670859767281036,0.9236111111111112,True
efficientnetb0,42,f1,pituitary,0.9431279620853079,0.9263152104684153,0.9584246339972005,True
efficientnetb0,789,accuracy,,0.899375,0.884375,0.91375,True
efficientnetb0,789,recall,glioma,0.785,0.7444168734491315,0.8245634821651284,True
efficientnetb0,789,precision,glioma,0.8997134670487106,0.8666666666666667,0.9297297297297298,True
efficientnetb0,789,f1,glioma,0.8384512683578105,0.8091168091168092,0.865546487481036,True
efficientnetb0,789,recall,meningioma,0.83,0.7920792079207921,0.8663242256102217,True
efficientnetb0,789,precision,meningioma,0.8668407310704961,0.8316055358603763,0.9,True
efficientnetb0,789,f1,meningioma,0.8480204342273308,0.8195118737748642,0.8740558820785521,True
efficientnetb0,789,recall,notumor,0.9875,0.9752465019229195,0.9974874371859297,True
