architecture,seed,hce
mobilenetv2,42,0.4
mobilenetv2,789,0.2975206611570248
mobilenetv2,999,0.3709677419354839
mobilenetv2,2023,0.2230769230769231
mobilenetv2,7,0.3212121212121212
resnet50,42,0.26436781609195403
resnet50,789,0.3942307692307692
resnet50,999,0.3105590062111801
resnet50,2023,0.17647058823529413
resnet50,7,0.32413793103448274
efficientnetb0,42,0.18604651162790697
efficientnetb0,789,0.16770186335403728
efficientnetb0,999,0.15757575757575756
efficientnetb0,2023,0.17763157894736842
efficientnetb0,7,0.19444444444444445
