architecture,seed,accuracy,weighted_f1,glioma_precision,glioma_recall,glioma_f1,meningioma_precision,meningioma_recall,meningioma_f1,notumor_precision,notumor_recall,notumor_f1,pituitary_precision,pituitary_recall,pituitary_f1
mobilenetv2,42,0.896875,0.8947956434537665,0.9429429429429429,0.785,0.8567530695770804,0.9178470254957507,0.81,0.8605577689243029,0.927570093457944,0.9925,0.9589371980676329,0.823045267489712,1.0,0.9029345372460497
mobilenetv2,789,0.924375,0.9229652911357634,0.9534883720930233,0.82,0.8817204301075269,0.8982188295165394,0.8825,0.8902900378310215,0.9521531100478469,0.995,0.9731051344743276,0.898876404494382,1.0,0.9467455621301775
mobilenetv2,999,0.9225,0.9209054805773317,0.9935483870967742,0.77,0.8676056338028169,0.8382022471910112,0.9325,0.8828402366863906,0.9498806682577565,0.995,0.9719169719169718,0.931924882629108,0.9925,0.9612590799031476
mobilenetv2,2023,0.91875,0.9174584452821614,0.9425287356321839,0.82,0.877005347593583,0.8900255754475703,0.87,0.8798988621997472,0.9610705596107056,0.9875,0.9741060419235512,0.8866666666666667,0.9975,0.9388235294117647
mobilenetv2,7,0.896875,0.8951758243884239,0.9495548961424333,0.8,0.8683853459972862,0.8821917808219178,0.805,0.8418300653594771,0.9473684210526315,0.99,0.9682151589242053,0.8270833333333333,0.9925,0.9022727272727272
resnet50,42,0.89125,0.8890709351302317,0.9933993399339934,0.7525,0.856330014224751,0.8796791443850267,0.8225,0.8501291989664083,0.9170506912442397,0.995,0.9544364508393286,0.8139059304703476,0.995,0.8953880764904387
resnet50,789,0.935,0.9337733452307707,0.9848024316109423,0.81,0.888888888888889,0.8738317757009346,0.935,0.9033816425120774,0.9545454545454546,0.9975,0.9755501222493889,0.9388235294117647,0.9975,0.9672727272727273
resnet50,999,0.899375,0.8968265811649784,0.9930555555555556,0.715,0.8313953488372092,0.8103837471783296,0.8975,0.8517200474495847,0.9611650485436893,0.99,0.9753694581280788,0.8708971553610503,0.995,0.9288214702450408
resnet50,2023,0.8725,0.8703835540387034,0.9725085910652921,0.7075,0.8191027496382055,0.8058252427184466,0.83,0.8177339901477833,0.9551122194513716,0.9575,0.9563046192259677,0.8024193548387096,0.995,0.8883928571428571
resnet50,7,0.909375,0.907564462186611,0.9967532467532467,0.7675,0.867231638418079,0.8948717948717949,0.8725,0.8835443037974685,0.9389671361502347,1.0,0.9685230024213075,0.8382352941176471,0.9975,0.910958904109589
efficientnetb0,42,0.919375,0.917936144168591,0.9320113314447592,0.8225,0.8738379814077025,0.8940568475452196,0.865,0.8792884371029225,0.9567307692307693,0.995,0.9754901960784313,0.8963963963963963,0.995,0.9431279620853079
efficientnetb0,789,0.899375,0.8971413955036254,0.8997134670487106,0.785,0.8384512683578105,0.8668407310704961,0.83,0.8480204342273308,0.9404761904761905,0.9875,0.9634146341463415,0.8883928571428571,0.995,0.9386792452830188
efficientnetb0,999,0.896875,0.8946124561975298,0.9159420289855073,0.79,0.8483221476510069,0.8766756032171582,0.8175,0.8460543337645537,0.9297423887587822,0.9925,0.9600967351874244,0.8681318681318682,0.9875,0.9239766081871346
efficientnetb0,2023,0.905,0.9028245044107015,0.9130434782608695,0.7875,0.8456375838926175,0.8711340206185567,0.845,0.8578680203045685,0.9341176470588235,0.9925,0.9624242424242424,0.9004524886877828,0.995,0.9453681710213777
efficientnetb0,7,0.8875,0.8849119929558692,0.8997134670487106,0.785,0.8384512683578105,0.8590785907859079,0.7925,0.8244473342002601,0.9205607476635514,0.985,0.9516908212560387,0.8700440528634361,0.9875,0.9250585480093677
